Key,Polish
Codex.Unlocked,Odblokowane
Codex.Mycop,Mycop
Codex.VHSTape,Kaseta VHS
Codex.LaserPointer,Wskaźnik laserowy
Codex.SerumVial,Fiolka surowicy
Codex.DrinkingBird,Pijący ptak
Codex.LeninStatue,Figurka Lenina
Codex.Snowglobe,Śnieżna kula
Codex.Portrait,Portret
Codex.Slavda,Slavda
Codex.ComputerChip,Czip komputerowy
Codex.DiscoBall,Kula dyskotekowa
Codex.MycopTitle,Mycop
Codex.VHSTapeTitle,Rangoon Luge Lessons VHS Tape
Codex.LaserPointerTitle,Wskaźnik laserowy
Codex.SerumVialTitle,Fiolka surowicy Shrink Ray
Codex.DrinkingBirdTitle,Pijący ptak Dimy
Codex.LeninStatueTitle,Figurka Lenina
Codex.SnowglobeTitle,Miniaturowa śnieżna kula z sowieckim żołnierzem w środku
Codex.PortraitTitle,Portret Bolscotchkovicha
Codex.SlavdaTitle,Slavda
Codex.ComputerChipTitle,Czip komputerowy DavAI
Codex.DiscoBallTitle,Kula dyskotekowa
Codex.MycopSub,Znalezione w misji “Tory do Rosji”
Codex.VHSTapeSub,Znalezione w misji “Wygłupy w Biurze”
Codex.LaserPointerSub,Znalezione w misji “Operacja: Nieprawdopodobne”
Codex.SerumVialSub,Znalezione w misji “Umysł szaleństwa”
Codex.DrinkingBirdSub,Znalezione w misji “Beyond the Books”
Codex.LeninStatueSub,Znalezione w misji “Sztuczne Szaleństwo”
Codex.SnowglobeSub,"Znalezione w misji “Umysł szaleństwa, Na Nowo”"
Codex.PortraitSub,Znalezione w misji “Ważna osoba”
Codex.SlavdaSub,Znalezione w misji “Rakietowy dżokej”
Codex.ComputerChipSub,"Znalezione w misji “Sajonara, Smoothspy!”"
Codex.DiscoBallSub,Znalezione w misji “Tożsamość Kwaterniony”
