Key,Polish
Dialogue.AudreyBarks_PlacingBanana_1,Czas się trochę przejechać...
Dialogue.AudreyBarks_PlacingBanana_2,"Ups. Jakże nieostrożnie z mojej strony."
Dialogue.AudreyBarks_PlacingBanana_3,Patrz pod nogi!
Dialogue.AudreyBarks_PlacingBanana_4,Miłej wycieczki
Dialogue.AudreyBarks_PlacingBanana_5,Odpuść sobie.
Dialogue.AudreyBarks_PlacingBanana_6,Pozwól się porwać.
Dialogue.AudreyBarks_PlacingAirBagMine_1,
Dialogue.AudreyBarks_PlacingAirBagMine_2,
Dialogue.AudreyBarks_PlacingAirBagMine_3,
Dialogue.AudreyBarks_PlacingAirBagMine_4,
Dialogue.AudreyBarks_PlacingAirBagMine_5,
Dialogue.AudreyBarks_PlacingAirBagMine_6,
Dialogue.AudreyBarks_PlacingAirBagMine_7,
Dialogue.AudreyBarks_PlacingAirBagMine_8,
Dialogue.AudreyBarks_PlacingAirBagMine_9,
Dialogue.AudreyBarks_UsingShrinkRayOnEnemy_1,
Dialogue.AudreyBarks_UsingShrinkRayOnEnemy_2,
Dialogue.AudreyBarks_UsingShrinkRayOnEnemy_3,
Dialogue.AudreyBarks_UsingShrinkRayOnEnemy_4,
Dialogue.AudreyBarks_UsingShrinkRayOnEnemy_5,
Dialogue.AudreyBarks_UsingShrinkRayOnEnemy_6,
Dialogue.AudreyBarks_UsingShrinkRayOnSelf_1,
Dialogue.AudreyBarks_UsingShrinkRayOnSelf_2,
Dialogue.AudreyBarks_UsingShrinkRayOnSelf_3,
Dialogue.AudreyBarks_UsingShrinkRayOnSelf_4,
Dialogue.AudreyBarks_UsingShrinkRayOnSelf_5,
Dialogue.AudreyBarks_UsingShrinkRayOnSelf_6,
Dialogue.audrey_objective_1_itsthisway,W tą stronę.
Dialogue.audrey_objective_2_betterhead,Lepiej się tam teraz udam...
Dialogue.audrey_objective_3_iknowwhere,Wiem gdzie iść.
Dialogue.audrey_objective_4_thatsthewayout,To droga na zewnątrz.
Dialogue.audrey_objective_5_thatstheticket,That's the ticket.
Dialogue.audrey_objective_6_thatsgottabe,To musi być nasz człowiek.
Dialogue.audrey_objective_7_foundyou,Znalazłem Cię.
Dialogue.audrey_objective_8_thatshim,To on.
Dialogue.audrey_objective_9_thatsher,To ona.
Dialogue.audrey_objective_10_targetacquired,Osiągnięto cel.
Dialogue.audrey_objective_11_targetinsight,Cel w polu widzenia.
Dialogue.audrey_objective_12_thatmustbehim,To musi być on.
Dialogue.audrey_objective_13_thatmustbeher,To musi być ona.
Dialogue.audrey_objective_14_nomistaking,No mistaking it.
Dialogue.audrey_pickobjective_1_gotit,Mam go.
Dialogue.audrey_pickobjective_2_hafoundit,Ha! Znalazłam go.
Dialogue.audrey_pickobjective_3_herewego,No to jazda....
Dialogue.audrey_pickobjective_4_mightbeuseful,Może się przydać.
Dialogue.audrey_pickobjective_5_yesss,Taaaak.
Dialogue.audrey_pickobjective_6_allagirl,Wszystko czego kobiecie potrzeba.
Dialogue.audrey_pickobjective_7_pickupsuccess,Pick up successful.
Dialogue.audrey_pickobjective_8_allrightwhatsnext,"W porządku. Co dalej?"
Dialogue.audrey_doorlocked_1_cantgothisway,Tędy nie przejdę.
Dialogue.audrey_doorlocked_2_nopenottheway,"Nie, nie tędy."
Dialogue.audrey_doorlocked_3_itslocked,Zamknięte.
Dialogue.audrey_doorlocked_4_noentryforme,Tędy nie wejdę.
Dialogue.audrey_doorlocked_5_wellthatsunfortunate,A to pech...
Dialogue.audrey_doorlocked_6_atleastheylock,Przynajmniej coś zamknęli.
Dialogue.audrey_pain_1_ouch,Ouch!
Dialogue.audrey_pain_2_ow,Ow!
Dialogue.audrey_pain_3_argh,Argh!
Dialogue.audrey_pain_4_oof,Oof!
Dialogue.audrey_18_Freeze,Stać!
Dialogue.audrey_19_LetsPause,Zatrzymajmy się na chwilę.
Dialogue.audrey_20_LetsMakeSomeTime,Stwórzmy trochę czasu...
