Key,Polish
Menu.NewGame,Nowa gra
Menu.LoadGame,Kontynuuj
Menu.Chapters,Misje
Menu.Codex,Dziennik
Menu.Options,Opcje
Menu.Credits,Autorzy
Menu.ExitGame,Wyjdź z gry
Menu.StartMission,Rozpocznij misję
Menu.Loading,Wczytywanie...
Menu.MissionReport,SPRAWOZDANIE Z MISJI
Menu.Time,Czas
Menu.Alarms,Alarmy
Menu.Kills,Zabici
Menu.Retries,Podejścia
Menu.Ghost,Duch
Menu.GhostDescription,Dobry szpieg nigdy nie zostaje wykryty.
Menu.Pacifist,Pacyfista
Menu.PacifistDescription,Dobry szpieg nigdy nie musi nikogo zabijać.
Menu.BacktoMainMenu,Wróć do menu głównego
Menu.RestartMission,Potwórz misję
Menu.Continue,Kontynuuj
Menu.Resume,Wróć do gry
Menu.SpyScore,Twój ranking SpyScore<sup>tm</sup>
Menu.ScoreFDescription,Recenzent gier
Menu.ScoreCDescription,Można zrobić to lepiej
Menu.ScoreBDescription,Dopuszczalny wynik
Menu.ScoreADescription,Zgoda do dalszej służby
Menu.ScoreSDescription,Smooth operator
Menu.ScoreSSDescription,Smoothspy 
Menu.ScoreSSSDescription,"Super smoothspy - udało Ci się, zuchu!"
Menu.TrainSceneTop,Moscow Express - 1981
Menu.TrainSceneBottom,Tory do Rosji
Menu.TrainSceneDescription,"Jesteśmy u szczytu Zimnej Wojny. Zostałeś wysłany na misję do Moskwy. Chodzą plotki, że zbuntowany sowiecki generał Boris B. Bolscotchkovich planuje zamach na świecie.<br><br>Będąc na pokładzie Moscow Express, dowiedz się co tak naprawdę planuje generał."
Menu.OfficeSceneTop,Biura Con-Nex - 1981
Menu.OfficeSceneBottom,Wygłupy w biurze
Menu.OfficeSceneDescription,"Audrey Smoothspy infiltruje biuro Moskiewskiego CON-NEX, by dowiedzieć się gdzie Generał Bolscotchkovich oraz Doktor Eierkopf ukrywają swój tajny projekt."
Menu.OperationSceneTop,Skarbiec Con-Nex - 1981
Menu.OperationSceneBottom,Operacja: Niemożliwe
Menu.OperationSceneDescription,"Audrey Smoothspy znajduje drzwi tajnego skarbca, za którymi stawi czoła systemom bezpieczeństwa placówki, strzegącym jej ciemnych sekretów."
Menu.LabsSceneTop,Laboratoria Con-Nex - 1981
Menu.LabsSceneBottom,Umysł Szaleństwa
Menu.LabsSceneDescription,"Doktor Ernst E. Eierkopf musi zostać pojmany i wysłany do DOWÓDZTWA, by powstrzymać plan generała. Zinfiltruj tajne laboratorium doktora, by go pojmać."
Menu.ArchivesSceneTop,Sekretne Sowieckie Archiwa - 1981
Menu.ArchivesSceneBottom,Beyond the Books
Menu.ArchivesSceneDescription,"Audrey Smoothspy infiltruje sowieckie archiwa. Na miejscu musi ona znaleźć sowiecką rakietę do listów, w której może wysłać Eierkopfa. Głęboko pod biurem CON-NEX znajduje się jednak coś bardzo niepokojącego..."
Menu.ArchivesBossSceneTop,Secret Soviet Archives - 1981
Menu.ArchivesBossSceneBottom,Sztuczne Szaleństwo
Menu.ArchivesBossSceneDescription,"Audrey Smoothspy musi unieszkodliwić COMMUNIBOTA 3000 - najnowszą wersję programu wykrywającego kapitalistów."
Menu.LabsReduxSceneTop,LABORATORIA CON-NEX - 1981
Menu.LabsReduxSceneBottom,"Umysł Szaleństwa, Na Nowo"
Menu.LabsReduxSceneDescription,Coś strasznego wydarzyło się w laboratorium.
Menu.GeneralFatResidenceSceneTop,Posiadłość Bolscotchkovicha - 1981
Menu.GeneralFatResidenceSceneBottom,Ważna osoba
