Key,Polish
Objective.train.avoid_conductor_title,Unikaj kontrolera biletów
Objective.train.grab_bananas_title,Zabierz Banany
Objective.train.get_past_first_guard_title,Pomiń pierwszego ochroniarza
Objective.train.grab_airbag_mines_title,Zabierz Poduszkę Powietrzną
Objective.train.get_past_second_guard_title,Pomiń drugiego ochroniarza
Objective.train.grab_teleporter_title,Zabierz Teleporter
Objective.train.get_past_third_guard_title,Pomiń trzeciego ochroniarza
Objective.train.grab_shrinkray_title,Zabierz Promień Zmniejszający
Objective.train.escape_the_cabin_title,Ucieknij z przedziału zmniejszając siebie samego
Objective.train.go_to_restaurant_car_title,Udaj się do wagonu restauracyjnego
Objective.train.go_to_eavesdrop_position_title,Przekradnij się za bar
Objective.train.eavesdrop_title,Podsłuchaj rozmowy generała Bolscotchkovicha z Dr. Eierkopfem
Objective.train.hide_title,Ukryj się w przedziale
Objective.office.leave_loading_dock_title,Opuść ładownie
Objective.office.find_server_room_title,Znajdź serwerownie
Objective.office.unlock_access_to_server_room_title,Dowiedz się jak odblokować serwerownie
Objective.office.go_to_server_room_title,Udaj się do serwerowni
Objective.office.find_hacking_floppy_disk_title,Znajdź dyskietkę do hakowania
Objective.office.hack_server_title,Zhakuj serwer
Objective.office.pick_up_stopwatch_title,Podnieś stoper
Objective.office.find_correct_keycard_title,Znajdź poprawną kartę dostępu
Objective.office.unlock_access_to_vault_title,Odblokuj dostęp do skarbca
Objective.office.enter_vault_title,Wejdź do skarbca
Objective.operation.open_blast_doors_title,Otwórz grodzie
Objective.operation.flip_the_switch_title,Flip the switch
Objective.operation.make_your_way_to_blast_doors_title,Udaj się do grodzi
Objective.operation.activate_elevator_title,Aktywuj windę
Objective.operation.survive_laser_corridor_title,Przeżyj korytarz z laserami the laser corridor
Objective.operation.survive_second_laser_corridor_title,Survive the second laser corridor
Objective.operation.descend_to_bottom_title,Descend to the bottom of the pit
Objective.operation.get_to_elevator_title,Get to the elevator
Objective.labs.pick_up_spytacles_title,Pick up the Spytacles
Objective.labs.unlock_mainlabs_doors_title,Unlock doors to the main lab
Objective.labs.sneak_into_mainlabs_title,Sneak into the main lab
Objective.labs.capture_headscientist_title,Capture Dr. Eierkopf
Objective.labs.throw_headscientist_into_bag_and_pick_it_up_title,Throw Dr. Eierkopf into the bag and pick it up
Objective.labs.sabotage_assemblyline_title,Sabotage the mail missile assembly line
Objective.labs.exit_labs_title,Exit the labs
Objective.archives.get_evidence_title,Steal evidence
Objective.archives.get_key_title,Find key for locked room
Objective.archives.get_targetingchip_title,Get the targeting chip
Objective.archives.stop_missileline_cuba_title,Send the package to Cuba
Objective.archives.stop_missileline_london_title,Send the package to London
Objective.archives.stop_missileline_washington_title,Send the package to Washington
Objective.archives.remove_parcel_title,Remove parcel from the mail missile
Objective.archives.send_headscientist_title,Place Eierkopf in the mail missile
Objective.archives.eierkopf_cuba_title,Place Eierkopf in the mail missile
Objective.archives.eierkopf_london_title,Place Eierkopf in the mail missile
Objective.archives.eierkopf_DC_title,Place Eierkopf in the mail missile
Objective.archives.send_evidence_title,Place evidence bag in the mail missile
Objective.archives.burn_books_title,Burn Bolscotchkovich's autobiography
Objective.archives.shred_notes_title,Shred autobiography notes
Objective.archives.enter_bossroom_title,Leave the archives
Objective.archivesboss.release_elevator_lockdown_title,Release the elevator lockdown
Objective.archivesboss.find_something_to_sabotage_first_computer_title,Find something to sabotage first computer
Objective.archivesboss.sabotage_computer_one_title,Sabotage the first computer
Objective.archivesboss.find_something_to_sabotage_second_computer_title,Find something to sabotage second computer
Objective.archivesboss.sabotage_computer_two_title,Sabotage the second computer
Objective.archivesboss.unplug_the_communibot_title,Unplug the COMMUNIBOT
Objective.archivesboss.get_to_the_elevator_title,Get to the elevator
Objective.labsredux.look_around_title,Look around in the labs
Objective.labsredux.turn_on_the_power_for_manual_override_title,Turn on the power for the manual override
Objective.labsredux.open_the_blast_door_title,Open the blast door
Objective.labsredux.escape_the_super_soldier_title,Escape the super soldier
Objective.labsredux.defeat_the_super_soldier_title,Defeat the super soldier
Objective.labsredux.investigate_the_commotion_title,Investigate the commotion
Objective.labsredux.get_to_the_elevator_title,Get to the elevator
Objective.residence.investigate_the_residence_title,Investigate the residence
Objective.residence.torch_the_super_corn_title,Torch the super corn
Objective.residence.investigate_further_title,Investigate further
Objective.residence.check_the_table_title,Check the table
Objective.residence.get_into_the_miniature_car_title,Shrink yourself into the miniature car
Objective.residence.escape_the_dining_room_title,Escape the dining room
Objective.residence.escape_the_residence_title,Escape the residence
Objective.warehouse.slip_past_welcoming_party_title,Slip past the welcoming party
Objective.warehouse.find_a_way_to_rocket_title,Find your way to the rocket
Objective.warehouse.select_route_0_title,Find your way to the rocket (Route A)
Objective.warehouse.select_route_1_title,Find your way to the rocket (Route B)
Objective.warehouse.rocketcatch_title,Catch the rocket!
Objective.rocket.switchpuzzle_title,Climb the rocket and unlock passage to the next floor
Objective.rocket.gradientpuzzle_title,Disable the cryosleep chambers by aligning the pieces
Objective.rocket.find_switches_title,Find the switches to turn on the elevator
Objective.rocket.select_target_title,Figure out how to defuse the nuke or change its target
Objective.quaternion.talk_to_bartender_title,Porozmawiam z barmanem
Objective.quaternion.get_to_east_side_title,Przedostań się na wschodnią stronę niezauważonym
Objective.quaternion.find_hacker_title,Znajdź hakera
Objective.quaternion.shrink_hacker_title,Zmniejsz hakera
Objective.quaternion.put_hacker_in_pint_title,Podnieś hakera i wrzuć go do szklanki
Objective.quaternion.take_pint_to_exchange_title,"Podnieś pintę, by wybić system wymiany"
Objective.quaternion.get_back_to_west_side_title,Szybko przedostań się na zachodnią stronę
Objective.quaternion.pick_up_pint_title,Podnieś pintę
Objective.quaternion.deliver_pint_to_bartender_title,Deliver the pint to the bartender
Objective.quaternion.search_for_intel_title,Search for intelligence in East Germany downstairs kitchen
Objective.quaternion.find_your_way_through_ddr_tunnels_title,Find your way through DDR tunnels
Objective.quaternion.find_a_way_to_open_the_door_title,Find a way to open the door
Objective.quaternion.escape_east_germany_title,Ucieknij ze Wschodnich Niemiec
Objective.quaternion.bring_intel_to_bartender_title,Dostarcz informacje barmanowi
Objective.train.retrievegear_report_title,Arsenał Agenta
Objective.train.retrievegear_report_description,Audrey pobrała jej szpiegowskie gadżety.
Objective.train.eavesdrop_report_title,Skrzyżowania zła
Objective.train.eavesdrop_report_description,Audrey podsłuchała plan Bolscotchkovicha i Eierkopfa.
Objective.office.hack_server_report_title,Odłączony
Objective.office.hack_server_report_description,Audrey wyczyściła serwery Con-Nex.
Objective.office.enter_vault_report_title,Sekrety Con-Nex
Objective.office.enter_vault_report_description,Audrey odblokowała i weszła do skarbca..
Objective.operation.descend_to_bottom_report_title,Red Means Dead
Objective.operation.descend_to_bottom_report_description,Audrey przedostała się żywcem przez lasery.
Objective.labs.throw_headscientist_into_bag_and_pick_it_up_report_title,Geniusz złodziejstwa
Objective.labs.throw_headscientist_into_bag_and_pick_it_up_report_description,Audrey porwała doktora Eierkopfa w jej torebce.
Objective.labs.eierkopf_hamsterwheel_report_title,Szczur laboratoryjny
Objective.labs.eierkopf_hamsterwheel_report_description,Audrey pozostawiła doktora Eierkopfa w kółku dla chomika.
Objective.labs.eierkopf_dead_report_title,Śmierć doktora
Objective.labs.eierkopf_dead_report_description,Audrey zabiła doktora Eierkopfa.
Objective.labs.sabotage_assemblyline_report_title,Some Assembly Required
Objective.labs.sabotage_assemblyline_report_description,Audrey broke the rocket part assembly line.
Objective.archives.burn_books_report_title,Gotowanie książek
Objective.archives.burn_books_report_description,Audrey spaliła autobiografię Bolscotchkovicha.
Objective.archives.shred_notes_report_title,Pierwszy i ostatni szkic
Objective.archives.shred_notes_report_description,Audrey podarła notki z autobiografi Bolscotchkovicha.
Objective.archives.send_headscientist_report_title,Paczka dostarczona
Objective.archives.send_headscientist_report_description,Audrey wysłała doktora Eierkopfa na przesłuchanie.
Objective.archives.send_evidence_report_title,Paczka dostarczona
Objective.archives.send_evidence_report_description,Audrey wysłała torbę dowodów do zbadania.
Objective.archives.eierkopf_cuba_report_title,Cuba Cabana
Objective.archives.eierkopf_cuba_report_description,Audrey wysłała doktora Eierkopf do Kuby - z powrotem do Sowietów. Ups.
Objective.archives.eierkopf_DC_report_title,The Higher-ups
Objective.archives.eierkopf_DC_report_description,Audrey wysłała doktora Eierkopfa do Waszyngtonu.
Objective.archives.eierkopf_london_report_title,London wzywa
Objective.archives.eierkopf_london_report_description,Audrey wysłała doktora Eierkopfa do Londynu.
Objective.archives.eierkopf_dead_report_title,Śmierć doktora
Objective.archives.eierkopf_dead_report_description,Audrey zabiła doktora Eierkopfa.
Objective.archivesboss.unplug_the_communibot_report_title,Obowiązkowa walka z bossem
Objective.archivesboss.unplug_the_communibot_report_description,Audrey odłączyła COMMUNIBOT 3000.
Objective.labs2.testodead_report_title,Bananarama
Objective.labs2.testodead_report_description,Audrey zabiła sowieckiego super-żołnierza.
Objective.labsredux.escape_the_super_soldier_report_title,Never Skip Leg Day
Objective.labsredux.escape_the_super_soldier_report_description,Audrey avoided the Soviet Supersoldier.
Objective.labsredux.get_to_the_elevator_report_title,A Sequel Hook
Objective.labsredux.get_to_the_elevator_report_description,Zobaczyłaś armię Generała.
Objective.residence.torch_the_super_corn_report_title,Blaze it!
Objective.residence.torch_the_super_corn_report_description,Audrey made some popcorn.
Objective.residence.escape_the_residence_report_title,Mad Marx
Objective.residence.escape_the_residence_report_description,Audrey ukradła Slavdę.
Objective.warehouse.rocketcatch_report_title,Starchaser
Objective.warehouse.rocketcatch_report_description,Audrey dostała się do rakiety.
Objective.rocket.moscow_report_title,Czerwony świt
Objective.rocket.moscow_report_description,Audrey wysadziła Moskwę.
Objective.rocket.DC_report_title,Dosłownie najgorsze zakończenie
Objective.rocket.DC_report_description,Audrey wysadziła Waszyngton.
Objective.rocket.forssa_report_title,Robiąc nam przysługę
Objective.rocket.forssa_report_description,Audrey wysadziła Forssę. 
Objective.rocket.defuse_report_title,Dzisiaj uratowałam świat
Objective.rocket.defuse_report_description,Audrey powstrzymała rakietę.
Objective.quaternion.deliver_pint_to_bartender_report_title,Ostatnie zadanie
Objective.quaternion.deliver_pint_to_bartender_report_description,Audrey znalazła i dostarczyła hakera barmanowi.
Objective.quaternion.escape_east_germany_report_title,Maraton
Objective.quaternion.escape_east_germany_report_description,Audrey dała radę uciec ze Wschodnich Niemiec.
