Key,Polish
Dialogue.audrey_000_MyNameIsAudrey,"Nazywam się Audrey. Audrey Smoothspy."
Dialogue.audrey_001_ItIsNovember,"Jest 12 Listopada, 1981."
Dialogue.audrey_002_CommandHasSent,DOWÓDZTWO wysłało mnie na misję do Moskwy.
Dialogue.audrey_003_MyIntel,"Informacje wywiadowcze sugerują, że Związek Radziecki rozkazał prowadzenie prac nad ściśle tajnym prototypem broni zbuntowanemu generałowi Borisowi B. Bolscotchkovichowi w Moskwie."
Dialogue.audrey_004_ToThisEffect,"W związku z tym, sowieci zrekrutowali Ernsta E. Eierkopfa, byłego nazistowskiego naukowca i złowieszczego geniusza, by im pomógł."
Dialogue.audrey_005_ItShouldBe,Powinna to być łatwa misja.
Dialogue.audrey_006_IveSnuck,"Dostałem się na pokład ""Moscow Express"", by ukraść ściśle tajny prototyp broni oraz dowiedzieć co takiego planują wyznaczone mi cele."
Dialogue.audrey_007_LittleDidIKnow,"Nie miałem pojęcia, że moje problemy miały się stać większe niż się tego spodziewano."
Dialogue.audrey_008_Thankfully,"Na szczęście - tak. Ale łatwo nie było."
Dialogue.audrey_009_IGotToPickup,Dostałam się do punktu zbiórki.
Dialogue.audrey_010_IsThisAll,Czy to cały ekwipunek?
Dialogue.audrey_011_WheresMyTicket,Gdzie jest mój bilet?
Dialogue.audrey_012_NoNeed,Nie musisz mi mówić ponownie.
Dialogue.audrey_013_TheEquipment,"Ekwipunek, Cecil."
Dialogue.audrey_014_WhatsInHere,Co my tu mamy?
Dialogue.audrey_015_WhatTheBloody,Co do cholery zapakowaliście w moją walizkę?
Dialogue.audrey_016_LetsSeeHere,Zobaczmy...
Dialogue.audrey_017_Bananas,Banany?
Dialogue.audrey_018_SoImUnarmed,Więc... jestem bezbronna.
Dialogue.audrey_019_IllKeepThatInMind,"Będę..... mieć to na uwadze."
Dialogue.audrey_020_SoTheLabGuys,"A więc ludziom z laboratorium w końcu się udało?"
Dialogue.audrey_021_TheyMadeAFunction,"Stworzyli promień teleportujący, który działa?"
Dialogue.audrey_022_IFaintlyRecall,"Ledwo pamiętam naszego zakapturzonego pracownika z Londynu, który korzystał z jednego z nich."
Dialogue.audrey_023_AndOneOfOurField,Do tego jednego z naszych agentów w Detroit oraz Pradze...
Dialogue.audrey_024_RightRightRight,"Racja, racja..."
Dialogue.audrey_025_AirbagMines,Poduszki powietrzne!
Dialogue.audrey_026_FinallyAnAssignment,"W końcu  zadanie, w których mogę je wykorzystać."
Dialogue.audrey_027_GotItCantWait,"Zrozumiano. Nie mogę się doczekać, by jedną z nich wypróbować."
Dialogue.audrey_028_GotItWheresTheCabin,Zrozumiano. Gdzie jest ten przedział?
Dialogue.audrey_029_AConspicuousMysterious,Podejrzana tajemnicza walizka!
Dialogue.audrey_030_PistolOfSomeSorts,Wygląda na jakiś pistolet oraz jakiś laser-
Dialogue.audrey_031_OhItsAShrinkRay,Ooo! Promień zmniejszający!
Dialogue.audrey_032_SorryComrade,"Przepraszam, towarzyszu!"
Dialogue.audrey_033_ThatsAWaterSlide,"To jedna ze zjeżdżalni wodnych, z których nie skorzystam."
Dialogue.audrey_034_OhCrapWhatDo,Cholera. Co ja teraz robię?
Dialogue.audrey_035_AlrightHereGoes,W porządku. No to jazda...
Dialogue.audrey_036_WowOkaySoImTiny,Wow. OK. Więc jestem teraz mała.
Dialogue.audrey_037_IThinkICanSneak,"Wydaje mi się, że powinnam być w stanie prześlizgnąć się za kontrolera biletów, wykorzystując dziurę w ścianę."
Dialogue.audrey_038_DulyNoted,Zrozumiano.
Dialogue.audrey_039_BetterMakeMyWay,"Zatem, lepiej się tam udaj."
Dialogue.audrey_040_IThinkISeeThem,Chyba ich widzę. Na przeciwko lady.
Dialogue.audrey_041_BolskoAndEier,"Bolscotchkovich i Eierkopf planują wystrzelić rakietę nuklearną wypełnioną miniaturowymi żołnierzami, z tajnego obszaru wewnątrz biur CON-NEX."
Dialogue.audrey_042_BetterHide,Lepiej będzie jak ukryję się przed kontrolerem biletów.
Dialogue.audrey_043_AnotherSmooth,Kolejne ciche wejście.
Dialogue.audrey_044_LetsGetStarted,Zaczynajmy.
Dialogue.audrey_045_AvoidPeopleGotIt,"Unikaj ludzi - zrozumiano."
Dialogue.audrey_046_OrShrinkMyself,"Lub zmniejsz siebie, by się obok nich przekraść."
Dialogue.audrey_047_LetsAvoidThat,Postarajmy się uniknąć tego typu nieprzyjemności.
Dialogue.audrey_048_INeedSomething,"Potrzebuję czegoś, co dałoby mi dostęp do serwerów."
Dialogue.audrey_049_RandomButtonMash,Naciśniecie losowych przycisków nic nie dało.
Dialogue.audrey_050_ThisNoteSays,"Ta notka prosi, by trzymać dyskietki do hakowania z dala od serwerów."
