Key,Polish
Dialogue.Cecil_01_AudreyAreYouThere,"Audrey, jesteś tam? Dostałaś się na pokład?"
Dialogue.Cecil_02_AvoidTheConductor,"No wiesz.... przy tych cięciach budżetowych.... po prostu unikaj kontrolera biletów."
Dialogue.Cecil_03_LetsFindOutTogether,"Eeeee, dowiedzmy się zatem razem! Otwierać!"
Dialogue.Cecil_04_EquipmentGuys,"Wygląda na to, że chłopaki od zaopatrzenia zamiast pistoletu zapakowali Ci ich własne śniadanie."
Dialogue.Cecil_05_YoullBeFine,"Poradzisz sobie - reszta ekwipunku jest na miejscu. Mogłabyś rozmieścić kilka bananów, tak wróg się na nich przewrócił. Byłoby to dość zabawne."
Dialogue.Cecil_06_StillAPrototype,"To tylko prototyp, więc może zająć mu chwilę ponowne naładowanie - ale tak. Możesz wykorzystać go, by ominąć przeszkody, dostać się na dach, lampy i tym podobne."
Dialogue.Cecil_07_CantTalkAboutThosePeople,"Wiesz, że nie możemy o nich mówić. Dowództwo ma naprawdę paskudnych prawników."
Dialogue.Cecil_08_MyPersonalFavourite,"Także je uwielbiam. Umieść je na podłodze lub ścianie. Tylko uważaj, bo latające z dużo prędkością ciała przyciągają dość sporą uwagę."
Dialogue.Cecil_08alt_MyPersonalFavourite,"Także je uwielbiam. Umieść je na ścianie. Tylko uważaj, bo latające z dużo prędkością ciała przyciągają dość sporą uwagę."
Dialogue.Cecil_09_NowOnToTheObjective,"A teraz, jeśli chodzi o cel. Jeżeli nasze informacje wywiadowcze są poprawne, Dr. Eierkopf ma tajny prototyp w swoim przedziale. Musisz wykraść tą broń, zanim dotrzesz do Moskwy!"
Dialogue.Cecil_10_LastOneOnTheLeft,Ostatni po lewej. Tylko nie daj się złapać kontrolerowi biletów.
Dialogue.Cecil_11_OpenItUp,Otwierać!
Dialogue.Cecil_12_TheGunMakesPeopleSmall,"Ta broń pomniejsza ludzi, co nie? Strzel nią w siebie!"
Dialogue.Cecil_13_YouMightBeStomped,"Może lepiej byłoby nie zostać złapanym, gdy jesteś mała - ktoś mógłby na ciebie nadepnąć."
Dialogue.Cecil_14_OurMoleTellsUs,"Uwaga. Nasz przeciek mówi nam, że Dr. Eierkopf spotyka się teraz z generałem Bolscotchkovichem w wagonie restauracyjnym."
Dialogue.Cecil_15_ItsTheNextTrainCar,Jest to następny wagon.
Dialogue.Cecil_16_ThePassengersWontMind,"Pasażerom nie będzie przeszkadzać, ale nie daj się zauważyć wrogom!"
Dialogue.Cecil_17_WhoWhoWhatNow,Co? Co takiego?. OK. Chwilę.
Dialogue.Cecil_18_DirectOrdersFromCommand,"Rozkaz bezpośrednio z Dowództwa - udaj się do biur CON-NEX, gdy pociąg dotrze do Moskwy."
Dialogue.Cecil_19_FirstThingsFirst,"Przede wszystkim. Całe biuro to przykrywka. Jego pracownicy to sowieccy agenci. Nie daj się złapać."
Dialogue.Cecil_20_MightBeAGoodIdea,"Może to być dobra okazja, to przetestowania Twojego promienia zmniejszającego. Zmniejsz ich i wrzuć do niszczarki lub spuść w toalecie."
Dialogue.Cecil_21_WellYesYouCouldDoThat,"Tak, oczywiście - mogłabyś to zrobić. O ile tylko Cię nie zobaczą i nie rozdepczą na śmierć."
Dialogue.Cecil_22_HowToAccess,"Czas znaleźć dostęp do miejsca o którym mówił Generał. Założę się, że tutejsze serwery będą miały jakieś informacje na potrzebny temat."
Dialogue.Cecil_23_ToTheSecondFloor,Zatem jazda do pokoju gościnnego na drugim piętrze!
Dialogue.Cecil_24_FindThatAccessCard,"Wyczyściłaś im serwery? Wspaniale! Znajdź kartę dostępu, o której mowa w wiadomości, byś mogła dostać się do skarbca."
